L0,L1,R0,R1
1044, 2621, 1066, 2969
932, 3125, 960, 3413
1262, 2786, 1248, 3029
1169, 2954, 1164, 3017
1058, 3866, 1076, 3879
2454, 4049, 2516, 4051
2544, 3687, 2651, 3601
3383, 3134, 3565, 3038
3952, 2614, 3989, 2527
3788, 2181, 4073, 2102
4033, 1834, 4090, 1755
4082, 1539, 4094, 1473
4092, 1785, 4094, 1661
4094, 1589, 4094, 1484
4094, 1776, 4094, 1669
4094, 1506, 4094, 1481
4094, 1487, 4094, 1486
4094, 1299, 4094, 1298
4094, 1137, 4052, 1169
4094, 1028, 4064, 1137
3982, 1211, 3498, 1091
3823, 1203, 3051, 1419
3276, 1067, 2559, 1295
2752, 1209, 2163, 1211
2290, 1086, 1831, 1282
1912, 1355, 1543, 1594
1856, 2210, 1784, 2202
1603, 2531, 1640, 2618
2134, 2247, 1926, 2330
1933, 2963, 1841, 2880
1925, 2686, 1594, 2768
1681, 2574, 1346, 2704
2137, 2875, 2020, 2816
1937, 2525, 1873, 2460
1654, 2777, 1597, 2714
1391, 3004, 1343, 3014
1723, 2628, 1614, 2654
1553, 3152, 1451, 3217
1331, 2813, 1249, 2868
1144, 3299, 1113, 2988
1288, 3268, 1329, 3017
1150, 2827, 1205, 2610
1188, 3095, 1188, 3014
1053, 3134, 1040, 3193
1035, 3266, 1032, 3281
952, 3253, 1021, 3055
1033, 2813, 1048, 2613
1245, 3225, 1250, 3137
1129, 3148, 1143, 3083
1027, 3905, 1056, 3892
1011, 3864, 1080, 3968
1820, 4048, 1930, 4069
2570, 3882, 2671, 3693
2692, 3335, 2807, 3129
2960, 2788, 3023, 2607
3868, 2328, 3880, 2177
4049, 1944, 4052, 1813
4085, 1871, 4086, 1813
4093, 1622, 4093, 1566
4094, 1614, 4094, 1563
4094, 1413, 4094, 1358
4094, 1539, 4094, 1580
4094, 1363, 4094, 1411
4094, 1480, 3950, 1540
4094, 1314, 4066, 1355
4094, 1294, 3675, 1159
4094, 1126, 3528, 1125
3874, 1197, 3021, 1257
3530, 1411, 2645, 1515
2990, 1275, 2218, 1359
2497, 1094, 2167, 1166
2086, 1064, 1867, 990
1909, 1303, 1896, 1211
1826, 1186, 1741, 1095
2043, 1468, 1838, 2038
2344, 1712, 2174, 2176
2082, 2497, 1953, 2976
1984, 2297, 1771, 2696
1711, 2198, 1511, 2288
1827, 2248, 1650, 3210
1611, 2383, 1465, 2930
1781, 2742, 1756, 2484
1583, 3225, 1567, 3288
1351, 2871, 1337, 2979
1151, 2561, 1130, 2627
1298, 2605, 1312, 3253
1158, 2259, 1178, 2905
1282, 2787, 1280, 2458
1144, 3009, 1148, 3011
988, 2644, 987, 2695
860, 2324, 951, 2295
1033, 2725, 941, 3249
938, 2428, 829, 2963
1029, 2058, 1004, 2515
924, 2683, 969, 2735
906, 2428, 890, 2405
1001, 2065, 1030, 2137
901, 3689, 1027, 3703
1026, 4013, 1051, 4016
2625, 4078, 2691, 4036
3789, 3596, 3814, 3491
3540, 3022, 3655, 2920
3984, 2538, 4007, 2430
4072, 2122, 4077, 2030
4090, 1786, 4091, 1704
4094, 1486, 4094, 1423
4094, 1414, 4094, 1556
4094, 1219, 4094, 1381
4094, 1423, 3942, 1584
4094, 1286, 4064, 1407
3915, 1577, 3691, 1617
4059, 1427, 4002, 1447
3731, 1230, 3494, 1348
4022, 1047, 3570, 1165
3579, 1025, 3088, 1058
3407, 1021, 2756, 1090
2915, 1041, 2325, 1150
2443, 928, 2098, 1025
2046, 872, 1779, 1025
2146, 1011, 2112, 1209
1965, 1537, 1990, 1465
2715, 2003, 2510, 2072
2480, 2660, 2358, 2650
2818, 3004, 2522, 2847
2502, 3551, 2206, 2811
2110, 3253, 1864, 2500
1778, 3506, 1566, 2738
1537, 3718, 1458, 3131
1788, 3244, 1735, 2830
1609, 3660, 1554, 2954
1452, 3227, 1322, 2576
1252, 3231, 1126, 3002
1347, 3487, 1310, 3086
1260, 3048, 1368, 2683
1102, 3022, 1206, 2991
953, 3632, 1038, 2991
1106, 3242, 1137, 2586
1006, 3511, 1016, 2959
922, 3067, 880, 2616
932, 3094, 964, 2624
871, 3463, 939, 2942
1136, 3056, 1174, 2598
1040, 3049, 1067, 2861
894, 3659, 923, 3156
1260, 4007, 1273, 3907
1694, 4077, 1773, 4057
2247, 4089, 2193, 3911
3277, 3533, 3515, 3347
3012, 2961, 3327, 2803
3878, 2473, 3941, 2322
4051, 2062, 4064, 1942
4086, 1739, 4088, 1625
4093, 1446, 4093, 1367
4094, 1549, 3801, 1420
4094, 1368, 4036, 1243
3839, 1596, 3738, 1519
4043, 1428, 4023, 1367
3751, 1618, 3674, 1313
4026, 1452, 3916, 1147
3632, 1496, 3418, 1347
3865, 1315, 3374, 1203
3384, 1292, 2910, 1067
3011, 1134, 2436, 915
2539, 1114, 2026, 1148
2127, 1054, 1874, 1046
1782, 918, 1607, 966
2216, 1092, 2055, 926
1990, 1870, 1848, 1774
2652, 1755, 2481, 1686
2413, 2630, 2257, 2848
2649, 3514, 2398, 3229
2337, 3182, 2108, 2855
1980, 3670, 1775, 3164
1816, 3370, 1645, 3001
1562, 3032, 1416, 2989
1327, 3722, 1196, 3235
1427, 3330, 1425, 2861
1333, 2890, 1325, 2936
1151, 3730, 1142, 3462
987, 3334, 970, 3122
1635, 3529, 1555, 3071
1560, 3074, 1502, 2651
1363, 2763, 1292, 2683
1158, 3460, 1108, 3001
990, 3105, 944, 2646
855, 3581, 809, 3004
943, 3176, 985, 2648
847, 2988, 901, 2756
1078, 3338, 1076, 2844
996, 2943, 978, 2472
880, 3864, 848, 3770
1126, 4048, 1114, 4030
1434, 4085, 1422, 4082
