L0,L1,R0,R1
381, 646, 318, 614
361, 627, 351, 589
393, 703, 365, 588
403, 641, 347, 599
427, 569, 321, 536
399, 532, 318, 520
355, 552, 328, 600
341, 550, 338, 633
409, 587, 390, 691
387, 2270, 361, 2526
1484, 3730, 1349, 3781
2340, 4022, 2301, 4032
3591, 3828, 3465, 3814
3303, 3285, 3185, 3257
3936, 2745, 3913, 2718
4063, 2285, 4058, 2254
4088, 1926, 4087, 1877
4093, 1606, 4093, 1577
3855, 1352, 3808, 1332
4047, 1320, 4037, 1381
4085, 1152, 4083, 1217
4093, 1309, 4092, 1274
4094, 1175, 4094, 1114
4094, 1042, 4094, 1006
4094, 896, 4094, 881
4094, 777, 4094, 781
3757, 871, 3628, 916
3193, 1027, 3052, 906
2664, 987, 2552, 1188
2226, 1236, 2121, 1236
1860, 1307, 1761, 1248
1753, 1347, 1508, 1388
1517, 1409, 1707, 1394
1326, 1461, 1519, 1486
1725, 1483, 1647, 1411
1577, 1521, 1654, 1496
1398, 1365, 1431, 1493
1340, 1456, 1276, 1445
1348, 1337, 1302, 1373
1344, 1398, 1373, 1474
1321, 1443, 1326, 1445
1336, 1341, 1352, 1480
1324, 1465, 1361, 1584
1327, 1385, 1377, 1477
1358, 1524, 1377, 1695
1467, 1527, 1528, 1704
1610, 1425, 1616, 1668
1606, 1410, 1694, 1630
1594, 1490, 1814, 1510
1491, 1406, 1594, 1486
1362, 1494, 1424, 1475
1349, 1443, 1408, 1582
1357, 1450, 1405, 1586
1343, 1512, 1359, 1555
1352, 1498, 1413, 1683
1335, 1369, 1300, 1486
1163, 3549, 1126, 3573
2004, 3985, 1982, 3990
2041, 4073, 2033, 4074
3598, 3845, 3534, 3822
3995, 3289, 3982, 3244
4075, 2743, 4072, 2709
4091, 2289, 4090, 2261
4094, 1916, 4094, 1886
4094, 1617, 4094, 1578
3855, 1346, 4094, 1326
4047, 1324, 4094, 1336
4085, 1167, 4094, 1171
4093, 1207, 4094, 1297
4094, 1071, 4094, 1153
4094, 1191, 4094, 1095
4094, 960, 4094, 958
4094, 952, 3781, 919
3696, 848, 3476, 891
3123, 951, 2951, 923
2611, 1078, 2460, 1051
2177, 1137, 2058, 1065
1821, 1297, 1710, 1142
1742, 1301, 1487, 1192
1498, 1330, 1504, 1340
1274, 1416, 1320, 1426
1637, 1411, 1596, 1264
1485, 1431, 1645, 1330
1470, 1442, 1515, 1391
1482, 1431, 1496, 1488
1382, 1458, 1356, 1455
1314, 1321, 1364, 1251
1304, 1460, 1320, 1455
1297, 1410, 1343, 1344
1313, 1412, 1339, 1371
1303, 1469, 1343, 1373
1348, 1445, 1339, 1404
1340, 1481, 1367, 1467
1374, 1547, 1405, 1452
1582, 1450, 1616, 1382
1626, 1514, 1608, 1365
1561, 1489, 1645, 1455
1504, 1457, 1552, 1395
1388, 1473, 1412, 1451
1323, 1449, 1410, 1438
